"","Open","High","Low","Close","Med","CO"
"2016-11-01 00:00:00",1.10121,1.10246,1.10115,1.10223,1.101805,0.00102000000000002
"2016-11-01 00:30:00",1.10224,1.10228,1.10132,1.10162,1.1018,-0.000620000000000065
"2016-11-01 01:00:00",1.10159,1.102,1.1013,1.10164,1.10165,4.99999999998835e-05
"2016-11-01 01:30:00",1.10163,1.10222,1.10132,1.10203,1.10177,0.000399999999999956
"2016-11-01 02:00:00",1.10203,1.10204,1.10107,1.10107,1.101555,-0.000960000000000072
"2016-11-01 02:30:00",1.10108,1.10212,1.10108,1.10151,1.1016,0.00042999999999993
"2016-11-01 03:00:00",1.10152,1.10159,1.10034,1.10059,1.100965,-0.000930000000000097
"2016-11-01 03:30:00",1.10058,1.10068,1.10001,1.10048,1.100345,-9.9999999999989e-05
"2016-11-01 04:00:00",1.10048,1.10198,1.0995,1.10095,1.10074,0.000470000000000192
"2016-11-01 04:30:00",1.10087,1.1014,1.09971,1.10062,1.100555,-0.000250000000000083
"2016-11-01 05:00:00",1.10061,1.10171,1.10048,1.10065,1.101095,3.9999999999818e-05
"2016-11-01 05:30:00",1.10067,1.10271,1.10067,1.10172,1.10169,0.00105
"2016-11-01 06:00:00",1.10172,1.10177,1.10003,1.10007,1.1009,-0.00164999999999993
"2016-11-01 06:30:00",1.10008,1.10076,1.09905,1.09906,1.099905,-0.00102000000000002
"2016-11-01 07:00:00",1.09908,1.09968,1.09811,1.09841,1.098895,-0.000669999999999948
"2016-11-01 07:30:00",1.09844,1.09957,1.09822,1.09896,1.098895,0.000519999999999854
"2016-11-01 08:00:00",1.09897,1.09986,1.0989,1.09943,1.09938,0.000459999999999905
"2016-11-01 08:30:00",1.09944,1.10007,1.09919,1.09998,1.09963,0.000539999999999985
"2016-11-01 09:00:00",1.09997,1.10137,1.09886,1.0989,1.100115,-0.0010699999999999
"2016-11-01 09:30:00",1.09896,1.10033,1.09877,1.09956,1.09955,0.000600000000000156
"2016-11-01 10:00:00",1.09957,1.0997,1.098,1.09802,1.09885,-0.00154999999999994
"2016-11-01 10:30:00",1.09804,1.09837,1.09772,1.09775,1.098045,-0.000289999999999901
"2016-11-01 11:00:00",1.09778,1.09808,1.09704,1.0971,1.09756,-0.000680000000000014
